sample_id,kind,modality,start_index,end_index_exclusive,delta_target_probability,delta_score
13,modality,vision,-1,-1,5.960464477539063e-08,0.0
13,window,text,1,5,0.03903892636299133,0.017872333526611328
13,window,text,5,9,0.016344070434570312,-0.025684773921966553
13,window,text,9,13,0.014874011278152466,0.016718953847885132
13,window,text,13,17,-0.008428335189819336,0.037887006998062134
13,window,text,17,21,-0.007867157459259033,0.05717122554779053
13,window,text,21,25,0.012904882431030273,0.01750454306602478
13,window,text,25,29,0.0007444620132446289,0.025202184915542603
13,window,text,29,31,0.005502492189407349,0.01748710870742798
13,window,audio,1,5,0.007083117961883545,0.012595653533935547
13,window,audio,5,9,0.0060575008392333984,0.0027660727500915527
13,window,audio,9,13,0.004560351371765137,0.0064165592193603516
13,window,audio,13,17,0.004871457815170288,0.004947036504745483
13,window,audio,17,21,0.0024394094944000244,0.010388493537902832
13,window,audio,21,25,0.004571497440338135,0.0005306005477905273
13,window,audio,25,29,0.0053813159465789795,0.002019137144088745
13,window,audio,29,31,0.002065896987915039,0.0016312003135681152
13,window,vision,1,5,5.960464477539063e-08,0.0
13,window,vision,5,9,5.960464477539063e-08,0.0
13,window,vision,9,13,5.960464477539063e-08,0.0
13,window,vision,13,17,5.960464477539063e-08,0.0
13,window,vision,17,21,5.960464477539063e-08,0.0
13,window,vision,21,25,5.960464477539063e-08,0.0
13,window,vision,25,29,5.960464477539063e-08,0.0
13,window,vision,29,31,5.960464477539063e-08,0.0
14,modality,text,-1,-1,0.3257026672363281,0.007870376110076904
14,modality,audio,-1,-1,-0.024384617805480957,0.10747390985488892
14,modality,vision,-1,-1,-0.17576467990875244,0.2956939935684204
14,window,text,1,5,0.15968114137649536,-0.10304081439971924
14,window,text,5,9,0.09734836220741272,-0.061494410037994385
14,window,text,9,13,0.12918630242347717,-0.06693577766418457
14,window,text,13,17,0.08911463618278503,-0.06551086902618408
14,window,text,17,21,0.08241388201713562,-0.021277427673339844
14,window,text,21,25,0.0631265640258789,-0.028129935264587402
14,window,text,25,29,0.0366043746471405,0.0014055967330932617
14,window,text,29,33,0.05890420079231262,0.006263852119445801
14,window,text,33,36,0.00013774633407592773,0.05326417088508606
14,window,audio,1,5,-0.027573585510253906,0.046274423599243164
14,window,audio,5,9,-0.04697275161743164,0.05197921395301819
14,window,audio,9,13,-0.005628466606140137,0.02283632755279541
14,window,audio,13,17,0.005493760108947754,-0.0012521743774414062
14,window,audio,17,21,0.005524873733520508,0.0010167360305786133
14,window,audio,21,25,0.008340299129486084,0.004138648509979248
14,window,audio,25,29,0.014937341213226318,-0.009390771389007568
14,window,audio,29,33,0.012722134590148926,-0.012658834457397461
14,window,audio,33,36,0.007354736328125,-0.004243671894073486
14,window,vision,1,5,-0.06767100095748901,0.07887101173400879
14,window,vision,5,9,-0.057926952838897705,0.05554601550102234
14,window,vision,9,13,-0.017701447010040283,0.023967385292053223
14,window,vision,13,17,-0.01796203851699829,0.033212900161743164
14,window,vision,17,21,0.0023764371871948242,0.011246204376220703
14,window,vision,21,25,0.00030308961868286133,0.003859996795654297
14,window,vision,25,29,-0.003986239433288574,0.009609103202819824
14,window,vision,29,33,0.0012971758842468262,0.011970162391662598
14,window,vision,33,36,-0.004012763500213623,0.012233555316925049
15,modality,text,-1,-1,0.3637045919895172,0.3921250104904175
15,modality,audio,-1,-1,0.15002107620239258,0.23562651872634888
