sample_id,kind,modality,start_index,end_index_exclusive,delta_target_probability,delta_score
03,window,audio,29,33,0.0016939043998718262,-0.005009472370147705
03,window,audio,33,34,-0.0009832382202148438,-0.0011453628540039062
03,window,vision,1,5,-0.006465137004852295,-0.00048285722732543945
03,window,vision,5,9,-0.005668520927429199,-0.0056528449058532715
03,window,vision,9,13,-0.00395810604095459,-0.01078885793685913
03,window,vision,13,17,-0.0010952949523925781,-0.010034292936325073
03,window,vision,17,21,-0.014255642890930176,-0.02412855625152588
03,window,vision,21,25,-0.005340576171875,-0.027605384588241577
03,window,vision,25,29,-0.0067122578620910645,-0.0031834542751312256
03,window,vision,29,33,-0.007367610931396484,-0.01878032088279724
03,window,vision,33,34,-0.0011263489723205566,-0.0007358193397521973
04,modality,text,-1,-1,-0.02529245615005493,-0.0935981273651123
04,modality,audio,-1,-1,0.12391650676727295,0.26756560802459717
04,modality,vision,-1,-1,0.5797199606895447,1.145753264427185
04,window,text,1,5,-0.02491748332977295,0.04319918155670166
04,window,text,5,9,0.024635255336761475,0.09561645984649658
04,window,text,9,13,-0.10686558485031128,-0.23921000957489014
04,window,text,13,17,-0.0062888264656066895,0.04797196388244629
04,window,text,17,21,0.1888912320137024,0.3709399700164795
04,window,text,21,25,-0.008873701095581055,-0.12869977951049805
04,window,text,25,27,-0.07784593105316162,-0.291545033454895
04,window,audio,1,5,-0.0427170991897583,-0.08359789848327637
04,window,audio,5,9,0.036753058433532715,0.05206608772277832
04,window,audio,9,13,-0.005679428577423096,-0.0037817955017089844
04,window,audio,13,17,0.02256399393081665,0.04924333095550537
04,window,audio,17,21,0.03861147165298462,0.06675517559051514
04,window,audio,21,25,0.02895587682723999,0.06394565105438232
04,window,audio,25,27,0.021422147750854492,0.08018553256988525
04,window,vision,1,5,-0.00640559196472168,-0.015904545783996582
04,window,vision,5,9,0.04266482591629028,0.08426547050476074
04,window,vision,9,13,0.01691567897796631,0.06612932682037354
04,window,vision,13,17,0.09581923484802246,0.22714006900787354
04,window,vision,17,21,0.0939447283744812,0.20349633693695068
04,window,vision,21,25,0.12250536680221558,0.26695752143859863
04,window,vision,25,27,0.026681959629058838,0.07620429992675781
